"id";"timestamp";"amount";"customer_id";"product_id"
"55448";"2014-01-24 22:00:34";"2,40";"865";"6"
"55449";"2014-01-24 22:00:55";"2,40";"763";"6"
"55454";"2014-01-24 22:08:39";"2,40";"854";"6"
"55463";"2014-01-24 22:41:04";"1,00";"607";"70"
"55467";"2014-01-24 22:58:04";"2,40";"847";"6"
"55469";"2014-01-24 23:03:48";"2,40";"777";"6"
"55471";"2014-01-24 23:18:46";"2,40";"778";"6"
"55507";"2014-01-29 21:15:33";"1,00";"788";"37"
"55508";"2014-01-29 21:15:34";"1,00";"787";"37"
"55510";"2014-01-29 21:15:35";"1,00";"832";"37"
"55509";"2014-01-29 21:15:35";"1,00";"779";"37"
"55511";"2014-01-29 21:15:36";"1,00";"764";"37"
"55512";"2014-01-29 21:22:21";"1,00";"787";"37"
"55513";"2014-01-29 21:22:22";"1,00";"832";"37"
"55515";"2014-01-29 21:22:23";"1,00";"764";"37"
"55514";"2014-01-29 21:22:23";"1,00";"788";"37"
"55516";"2014-01-29 21:22:24";"1,00";"779";"37"
"55517";"2014-01-29 21:25:45";"1,00";"822";"37"
"55518";"2014-01-29 21:25:57";"1,00";"779";"37"
"55519";"2014-01-29 21:26:05";"1,00";"764";"37"
"55520";"2014-01-29 21:26:47";"1,00";"832";"37"
"55521";"2014-01-29 21:28:50";"1,00";"822";"37"
"55523";"2014-01-29 21:36:30";"1,00";"822";"37"
"55524";"2014-01-29 21:36:31";"1,00";"764";"37"
"55525";"2014-01-29 21:36:32";"1,00";"779";"37"
"55526";"2014-01-29 21:36:32";"1,00";"783";"37"
"55527";"2014-01-29 21:36:33";"1,00";"853";"37"
"55528";"2014-01-29 21:37:33";"1,00";"832";"37"
"55533";"2014-01-29 21:38:28";"1,00";"822";"37"
"55532";"2014-01-29 21:38:28";"1,00";"822";"37"
"55531";"2014-01-29 21:38:28";"1,00";"822";"37"
"55529";"2014-01-29 21:38:28";"1,00";"822";"37"
"55530";"2014-01-29 21:38:28";"1,00";"822";"37"
"55534";"2014-01-29 21:46:46";"1,00";"822";"37"
"55535";"2014-01-29 21:46:47";"1,00";"787";"37"
"55537";"2014-01-29 21:46:48";"1,00";"779";"37"
"55536";"2014-01-29 21:46:48";"1,00";"788";"37"
"55538";"2014-01-29 21:47:17";"1,00";"787";"37"
"55540";"2014-01-29 21:52:28";"1,00";"788";"37"
"55541";"2014-01-29 21:52:28";"1,00";"788";"37"
"55542";"2014-01-29 21:52:35";"1,00";"822";"37"
"55543";"2014-01-29 21:52:35";"1,00";"822";"37"
"55544";"2014-01-29 21:53:04";"1,00";"822";"37"
"55545";"2014-01-29 21:53:10";"1,00";"788";"37"
"55546";"2014-01-29 22:00:08";"1,00";"779";"37"
"55547";"2014-01-29 22:00:09";"1,00";"764";"37"
"55551";"2014-01-29 22:14:20";"1,00";"779";"37"
"55548";"2014-01-29 22:14:20";"1,00";"779";"37"
"55549";"2014-01-29 22:14:20";"1,00";"779";"37"
"55550";"2014-01-29 22:14:20";"1,00";"779";"37"
"55555";"2014-01-29 22:14:21";"1,00";"764";"37"
"55554";"2014-01-29 22:14:21";"1,00";"764";"37"
"55553";"2014-01-29 22:14:21";"1,00";"764";"37"
"55552";"2014-01-29 22:14:21";"1,00";"764";"37"
"55559";"2014-01-29 22:20:53";"1,00";"764";"37"
"55557";"2014-01-29 22:20:53";"1,00";"764";"37"
"55558";"2014-01-29 22:20:53";"1,00";"764";"37"
"55563";"2014-01-29 22:24:11";"1,00";"764";"37"
"55562";"2014-01-29 22:24:11";"1,00";"764";"37"
"55565";"2014-01-29 22:28:11";"2,40";"579";"6"
"55566";"2014-01-29 22:32:34";"1,00";"788";"37"
"55567";"2014-01-29 22:32:35";"1,00";"832";"37"
"55568";"2014-01-29 22:33:18";"1,00";"788";"37"
"55570";"2014-01-29 22:33:19";"1,00";"803";"37"
"55569";"2014-01-29 22:33:19";"1,00";"832";"37"
"55572";"2014-01-29 22:35:29";"2,40";"880";"6"
"55575";"2014-01-29 22:41:52";"1,00";"772";"37"
"55574";"2014-01-29 22:41:52";"1,00";"772";"37"
"55576";"2014-01-29 22:41:52";"1,00";"772";"37"
"55579";"2014-01-29 22:41:59";"1,00";"787";"37"
"55578";"2014-01-29 22:41:59";"1,00";"787";"37"
"55577";"2014-01-29 22:41:59";"1,00";"787";"37"
"55580";"2014-01-29 22:42:05";"1,00";"764";"37"
"55581";"2014-01-29 22:42:49";"1,00";"832";"37"
"55596";"2014-01-29 23:08:13";"1,00";"752";"37"
"55597";"2014-01-29 23:09:03";"1,00";"822";"37"
"55598";"2014-01-29 23:09:03";"1,00";"822";"37"
"55599";"2014-01-29 23:09:03";"1,00";"822";"37"
"55600";"2014-01-29 23:09:03";"1,00";"822";"37"
"55601";"2014-01-29 23:09:12";"1,00";"787";"37"
"55602";"2014-01-29 23:09:12";"1,00";"787";"37"
"55603";"2014-01-29 23:09:21";"1,00";"832";"37"
"55609";"2014-01-29 23:11:12";"1,00";"764";"37"
"55610";"2014-01-29 23:11:12";"1,00";"764";"37"
"55611";"2014-01-29 23:11:18";"1,00";"764";"37"
"55622";"2014-01-29 23:28:58";"1,00";"788";"37"
"55623";"2014-01-29 23:28:59";"1,00";"779";"37"
"55624";"2014-01-29 23:29:58";"1,00";"779";"37"
